Office,Company Prestige,Country,City,Application Type,Role,Notes,apply / contact webpage,e-mail address,Application Status,Date of Application,Application Means,Date of First Response,First Response Result,Last Contact Date,First Interview Date,First Interview Result,Second Interview Date,Second Interview Result,Salary Range (Min),Salary Range (Max),Offered Salary,Currency,Final Accept
Henning Larsen,Large Famous,Various,Various,Unsolicited,Professional Talent Community,,talent newsletter,,Applied,2026-01-09,Online Form,,Pending,2026-01-09,,,,,,,,,
Henning Larsen,Large Famous,Various,Various,Unsolicited,Student Talent Community,,talent newsletter,,Applied,2026-01-09,Online Form,,Pending,2026-01-09,,,,,,,,,
Herzog & de Meuron,Large Famous,Switzerland,Various,Unsolicited,Unsolicited Design Technology,,personal text linkedin,,Applied,2026-01-10,LinkedIn,,Pending,2026-01-10,,,,,,,,,
IAAC ,Large Famous,Spain,Barcelona,Unsolicited,Unsolicited Internship,,careers,internship@iaac.net,Applied,2026-01-10,Email,,Pending,2026-01-10,,,,,,,,,
Kengo Kuma,Large Famous,France,Paris,Unsolicited,Unsolicited Design Technology,,careers,,Applied,2026-01-10,Online Form,,Pending,2026-01-10,,,,,,,,,
Kengo Kuma,Large Famous,Japan,Tokyo,Unsolicited,Unsolicited Design Technology,,careers,,Applied,2026-01-10,Online Form,,Pending,2026-01-10,,,,,,,,,
localarchitecture,Small No-Name,Switzerland,Lausanne,Unsolicited,Unsolicited / Computational Designer / Architecture,,contact,job@localarchitecture.ch,Applied,2026-01-08,Email,,Pending,2026-01-08,,,,,,,,,
LUO Studio,Small Famous,China,Beijing,Unsolicited,Unsolicited Design Technology,,connect,luostudio@126.com,Applied,2026-01-10,Email,,Pending,2026-01-10,,,,,,,,,
MIRALLES TAGLIABUE EMBT,Small Famous,Spain,Barcelona,Unsolicited,Unsolicited Design Technology,,contact,practices@mirallestagliabue.com,Applied,2026-01-10,Email,,Pending,2026-01-10,,,,,,,,,
Neri&Hu,Mid No-Name,China,Shanghai,Unsolicited,Unsolicited Design Technology / Research,,job form,info@neriandhu.com,Applied,2026-01-09,Online Form,,Pending,2026-01-09,,,,,,,,,
Populous,Large Famous,USA,Kansas City,Specific Job Post,Computational Designer ,,job post,,Applied,2026-01-12,Online Form,,Pending,2026-01-12,,,,,,,,,
Ramboll,Giant Famous,Denmark,Various,Unsolicited,Talent Community,,talent newsletter,,Applied,2026-01-08,Online Form,,Pending,2026-01-08,,,,,,,,,
Rayon,Small Famous,Online,Online,Specific Job Post,Architecture / Interior Design Intern,,job post,careers@rayon.so,Applied,2026-01-13,Email,,Pending,2026-01-13,,,,,,,,,
Renzo Piano Building Workshop,Mid Famous,France,Paris,Unsolicited,Unsolicited Design Technology,,,,Applied,2026-01-08,Online Form,,Pending,2026-01-08,,,,,,,,,
Renzo Piano Building Workshop,Mid Famous,Italy,Genoa,Unsolicited,Unsolicited Design Technology,,,,Applied,2026-01-08,Online Form,,Pending,2026-01-08,,,,,,,,,
Shigeru Ban,Large Famous,France,Paris,Unsolicited,Unsolicited Design Technology,,recruit,internship-europe@shigerubanarchitects.com,Applied,2026-01-08,Email,,Pending,2026-01-08,,,,,,,,,
Shigeru Ban,Large Famous,Japan,Tokyo,Unsolicited,Unsolicited Design Technology,,recruit,internship-tokyo@shigerubanarchitects.com,Applied,2026-01-08,Email,,Pending,2026-01-08,,,,,,,,,
Snøhetta ,Large Famous,Norway,Oslo,Specific Job Post,Climate Design internship,,job posting,marta@snohetta.com,Applied,2026-01-08,Online Form,,Pending,2026-01-08,,,,,,,,,
Studio Cardenas Conscious Design,Small No-Name,Italy,Milan,Unsolicited,Unsolicited Design Technology,,linkedin,,Applied,2026-01-08,Email,,Pending,2026-01-08,,,,,,,,,
Superuse,Mid Famous,Netherlands,Rotterdam,Unsolicited,Unsolicited Design Technology,,contact,jobs@superuse-studios.com,Applied,2026-01-08,Email,,Pending,2026-01-08,,,,,,,,,
Tetsuo Kobori,Small No-Name,Japan,Tokyo,Unsolicited,Unsolicited Design Technology,,contact,,Applied,2026-01-10,Email,,Pending,2026-01-10,,,,,,,,,
VTN Architects,Small No-Name,Vietnam,Hanoi,Unsolicited,Unsolicited Design Technology,,recruitment contact,hcmc@vtnaa.com,Applied,2026-01-08,Email,,Pending,2026-01-08,,,,,,,,,
xFigura,Small No-Name,Online,Online,Specific Job Post,Machine Learning Engineering Intern,,careers site,hello@xfigura.org,Applied,2026-01-14,Email,,Pending,2026-01-14,,,,,,,,,
AI Build,Small No-Name,UK,London,Specific Job Post,Additive Manufacturing Engineer,,job description,,Skipped,,,,,,,,,,,,,,
Allies and Morrison,Large No-Name,UK,London ,Specific Job Post,Design Technology Support Specialist,,job description,jobs@alliesandmorrison.com,Skipped,,,,,,,,,,,,,,
Arup,Giant Famous,Canada,Various,Unsolicited,,,job portal,,Skipped,,,,,,,,,,,,,,
Arup,Giant Famous,Poland,Various,Unsolicited,,,contact,,Skipped,,,,,,,,,,,,,,
batteriid,Mid No-Name,Iceland,Rejkjavik,Unsolicited,Unsolicited,,,batteriid@arkitekt.is,Skipped,,,,,,,,,,,,,,
Bjerg,Small Famous,Poland,Warszawa,Unsolicited,,,,,Skipped,,,,,,,,,,,,,,
Buro Happold,Giant Famous,Poland,Warszawa,Unsolicited,,,warsaw contact site,,Skipped,,,,,,,,,,,,,,
em2n,Small No-Name,Switzerland,Zürich,Unsolicited,,,jobs,em2n@em2n.ch,Skipped,,,,,,,,,,,,,,
Finch3D,Small Famous,Sweden,Malmo,Unsolicited,,,,,Skipped,,,,,,,,,,,,,,
Foster+Partners,Giant Famous,Poland,Warszawa,Unsolicited,,,warsaw contact form,,Skipped,,,,,,,,,,,,,,
Gensler,Giant Famous,Various,Various,Unsolicited,,,job portal,,Skipped,,,,,,,,,,,,,,
Gramazio Kohler Architects,Large No-Name,Switzerland,Zürich,Unsolicited,,,,,Skipped,,,,,,,,,,,,,,
Gramazio Kohler Research,Large No-Name,Switzerland,Zürich,Unsolicited,,,,,Skipped,,,,,,,,,,,,,,
jiac,Large No-Name,Japan,Various,Unsolicited,,,contact,,Skipped,,,,,,,,,,,,,,
sintef,Giant No-Name,Norway,Oslo,Unsolicited,Various,,vacancies,rekrutteringsarrangementer@sintef.no,Skipped,,,,,,,,,,,,,,
sprint studio,Small No-Name,Iceland,Rejkjavik,Unsolicited,Unsolicited,,,,Skipped,,,,,,,,,,,,,,
Bjerg,Small Famous,Norway,Oslo,Unsolicited,,,,,To Apply,,Email,,,,,,,,,,,,
Heatherwick Studio,Large Famous,UK,London,Unsolicited,Unsolicited Design Technology,,personal text linkedin,studio@heatherwick.com,To Apply,,LinkedIn,,,,,,,,,,,,
nikken sekkei,Giant No-Name,Japan,Tokyo,,,,career website,,To Apply,,,,,,,,,,,,,,
